"","ECODISTRICT","landtype","mean_AWC","mean_MTN.T.ha","mean_pH","ECODIST_LANDTYPE"
"122",502,2,7.4902617486353,0.140554651894041,4.50328785211018,"502_2"
"123",502,3,8.41213422832348,0.135298071144386,4.44194209814099,"502_3"
"124",502,4,6.30425854357932,0.0991958366291087,4.46508381042312,"502_4"
"125",502,5,5.27288875890987,0.106793164786649,4.48190643308186,"502_5"
"126",503,1,5.52307638096958,0.112627148424949,4.27609609152421,"503_1"
"127",503,2,7.85320681705069,0.157564717905475,4.32026191313342,"503_2"
"128",503,3,6.80312202985458,0.126164378197283,4.6121585671458,"503_3"
"129",503,4,5.59628765632058,0.116021819863786,4.33285425133458,"503_4"
"130",503,5,7.63943452773665,0.146801196051326,4.20273385313695,"503_5"
"131",504,1,6.00915881544465,0.126086100785519,4.42869827279284,"504_1"
"132",504,2,6.32786043343443,0.122207068754468,5.06701307870027,"504_2"
"133",504,3,8.36371223124809,0.165754439570983,4.94448281051878,"504_3"
"134",504,4,6.78467573986549,0.130232484180769,5.19115469012244,"504_4"
"135",504,5,6.30690879356836,0.130251712408907,5.26240002528036,"504_5"
"136",505,1,7.76920902801678,0.157494251504265,4.51557433411514,"505_1"
"137",505,2,7.35688672535428,0.15451981652498,4.31746725655547,"505_2"
"138",505,3,5.37746666385137,0.113034369968939,4.47682502915187,"505_3"
"139",505,4,6.46189422095285,0.107172657699788,4.38414047433096,"505_4"
"140",505,5,8.48794205737401,0.15508034139754,4.28763086287566,"505_5"
"141",506,1,7.93082832981515,0.136502067441843,4.26018490572205,"506_1"
"142",506,2,7.74094589374745,0.153221188936605,4.46829825071782,"506_2"
"143",506,3,6.08567856712186,0.101162121849969,4.13601861594823,"506_3"
"144",506,4,5.35019760548118,0.109906186200882,4.47303917422373,"506_4"
"145",506,5,7.73119400206482,0.137677025318024,4.27730122014802,"506_5"
"146",507,1,8.97516685373355,0.153438367986125,4.97644270643238,"507_1"
"147",507,2,6.80670498756924,0.0921486178715682,4.80056145411477,"507_2"
"148",507,3,6.10704749824085,0.118191706379756,5.21342614839366,"507_3"
"149",507,4,6.1981965481967,0.105034074561571,4.90778859463118,"507_4"
"150",507,5,8.07383581760721,0.156058970594343,5.23575215644762,"507_5"
"151",508,1,8.09901396076561,0.132578388821955,4.47687110481574,"508_1"
"152",508,2,5.18364953607548,0.0947085557937414,4.44871770411673,"508_2"
"153",508,3,8.87856922890968,0.099730595083628,4.68820065733778,"508_3"
"154",508,4,6.19893798885165,0.0744940065744275,4.69953197345399,"508_4"
"155",508,5,6.20015021091991,0.0870378966372768,4.58972373319866,"508_5"
"156",509,1,9.81413883556134,0.152169587071349,5.2174472828261,"509_1"
"157",509,2,6.87373784037668,0.120198350053206,5.2872698598318,"509_2"
"158",509,3,5.40596131161262,0.103118141654761,5.00441947465532,"509_3"
"159",509,4,7.11063205935684,0.109143741648645,5.28940893023202,"509_4"
"160",509,5,6.89345640152892,0.102828001056572,5.06037377865515,"509_5"
"161",510,1,7.5872143882757,0.088703655793126,5.33087221917701,"510_1"
"162",510,2,7.58494209746311,0.100094873751887,5.39981952150429,"510_2"
"163",510,3,9.05063999745603,0.110664465543285,5.39839858410555,"510_3"
"164",510,4,7.13748268682925,0.0955575163189828,5.36689052282134,"510_4"
"165",510,5,10.1313126607636,0.112403032450896,5.36743843920226,"510_5"
"166",511,1,7.37629038552688,0.0898876435602078,5.40008499148158,"511_1"
"167",511,2,9.55296570422503,0.112114260762948,5.39956931221789,"511_2"
"168",511,3,6.96281581584635,0.0793539461442935,5.39865681207002,"511_3"
"169",511,4,11.2526620689488,0.120228393423101,5.39754252018044,"511_4"
"170",511,5,8.01947224142347,0.0948849749193413,5.39928932513221,"511_5"
"171",512,1,7.75150083536421,0.0894548762141113,5.42441299858851,"512_1"
"172",512,2,10.7252140283722,0.11956705398965,5.42748901563767,"512_2"
"173",512,3,7.78303589006874,0.0968096141763495,5.30460538986036,"512_3"
"174",512,4,8.55285498874345,0.10086079236363,5.42355319958523,"512_4"
"175",512,5,9.93441693242955,0.112678270383979,5.3135677197878,"512_5"
"176",513,1,6.58024397656828,0.100098276451521,5.29112808009077,"513_1"
"177",513,2,7.00058821292284,0.0895585104319265,5.36266092390684,"513_2"
"178",513,3,8.46643006584571,0.119675835960824,5.34309567224521,"513_3"
"179",513,4,5.40901397840771,0.0751052926273319,5.31845626177626,"513_4"
"180",513,5,6.50607142947353,0.0909554737827769,5.36119004651949,"513_5"
"181",514,1,6.37664887937086,0.0801079573764138,5.37068746992332,"514_1"
"182",514,2,9.71000015186876,0.111432587493012,5.3203627411434,"514_2"
"183",514,3,7.44349286069094,0.0865553465088503,5.3264916412761,"514_3"
"184",514,4,7.53801115585349,0.0916431102524282,5.3704134665669,"514_4"
"185",514,5,7.81507457316284,0.0889750293483926,5.24517242470874,"514_5"
"186",515,1,6.21042448828033,0.0858276214532596,4.90567411382014,"515_1"
"187",515,2,6.2463043427663,0.0883008094199709,4.71735258821128,"515_2"
"188",515,3,6.73308229184126,0.0878062851521618,4.87408931390516,"515_3"
"189",515,4,4.94446398375874,0.0730053769620736,4.80231813635791,"515_4"
"190",515,5,4.91388398644791,0.0701137635666693,4.75610040762778,"515_5"
"191",516,1,6.44383849629479,0.0732739710336129,5.25811105730021,"516_1"
"192",516,2,4.89162035806978,0.0571083398643624,5.24852849172107,"516_2"
"193",516,3,6.84316876441067,0.0824144452815219,5.23917612088325,"516_3"
"194",516,4,5.76608690626707,0.0893424043824486,5.06514454819745,"516_4"
"195",516,5,4.95799820229098,0.0645952232118079,5.18449653123806,"516_5"
"196",517,1,7.13993501758666,0.0948206509143051,5.20346299440968,"517_1"
"197",517,2,6.95409918695154,0.119462433410338,5.29471254579255,"517_2"
"198",517,3,6.90560963053312,0.131785355637569,5.34514861810325,"517_3"
"199",517,4,6.6668025033598,0.0892228575630323,5.32837442031186,"517_4"
"200",517,5,9.3606822939385,0.149665592676013,5.31083752894688,"517_5"
"201",518,1,7.66051782074938,0.149054783188023,5.44420958668164,"518_1"
"202",518,2,6.78627471085957,0.124338973756206,5.46815870686755,"518_2"
"203",518,3,5.78498407831359,0.120173579662157,5.45046281969337,"518_3"
"204",518,4,9.52188427648057,0.141835082936853,5.45820682891796,"518_4"
"205",518,5,7.39875986087728,0.110932796834382,5.45176596173185,"518_5"
"206",519,1,6.54045452177883,0.0768324498779164,5.34468610274602,"519_1"
"207",519,2,9.83344045778719,0.0814911216612737,5.22008137991934,"519_2"
"208",519,3,5.28514161809573,0.060914904056706,5.26559140568635,"519_3"
"209",519,4,6.82729020589747,0.0825826586048371,5.27753742390087,"519_4"
"210",519,5,7.0034066375223,0.0741652816280949,5.17969508309719,"519_5"
"211",520,1,6.94693908165742,0.0895361598150914,5.3417386668514,"520_1"
"212",520,2,7.54846295504538,0.106022530494149,5.34640912801069,"520_2"
"213",520,3,7.73565508690287,0.120658084457507,5.32138538187759,"520_3"
"214",520,4,6.94202764814177,0.0852436260805902,5.32287183943494,"520_4"
"215",520,5,9.66035050133932,0.122362652092312,5.32543230331597,"520_5"
"216",521,1,6.26843078562291,0.0765168358924105,3.87134870664481,"521_1"
"217",521,2,4.85678993674108,0.059711318673779,3.80927467739189,"521_2"
"218",521,3,6.08390290391229,0.0737014733949023,4.17041413099024,"521_3"
"219",521,4,6.84246931744593,0.0818728233995742,4.34862527159825,"521_4"
"220",521,5,10.6083396437106,0.0976597273331804,4.0528445460952,"521_5"
"221",522,1,8.94955865712706,0.0944584187436284,5.04101813195444,"522_1"
"222",522,2,6.35396608095916,0.097807298694599,5.3028042417332,"522_2"
"223",522,3,5.36337894516416,0.0712378699094962,5.25216665122161,"522_3"
"224",522,4,7.2359399321415,0.0921977073685386,5.16776120601347,"522_4"
"225",522,5,5.92462738392225,0.0714313073287202,5.10749773645799,"522_5"
"226",523,1,6.39532992041977,0.0748243079822559,4.97849919637104,"523_1"
"227",523,2,5.90779685525994,0.0774807987534473,5.26469656400992,"523_2"
"228",523,3,4.85708057609258,0.0573980091172245,4.92697093512487,"523_3"
"229",523,4,9.35501104362795,0.090228277391764,4.88407158199961,"523_4"
"230",523,5,6.37174412108038,0.0730442502103804,5.05327496110958,"523_5"
"231",524,1,5.8376351617433,0.0695253970964262,5.27496598821108,"524_1"
"232",524,2,6.62695851073624,0.0706452889004733,5.24893096482979,"524_2"
"233",524,3,5.23730207554057,0.0629017297208413,5.3242775569302,"524_3"
"234",524,4,7.53622443871285,0.0754183521946401,5.31494822161746,"524_4"
"235",524,5,10.643956022429,0.0794504951302886,5.29202809233766,"524_5"
"236",525,1,9.36889481845069,0.14556038388046,5.25731479450189,"525_1"
"237",525,2,5.74345059241743,0.0768947296744317,5.2306784497436,"525_2"
"238",525,3,6.71031511066512,0.0989736850640848,5.28317248980058,"525_3"
"239",525,4,6.46963160642426,0.104706674828725,5.22025202943924,"525_4"
"240",525,5,6.27276013081793,0.0728583572301487,5.20770841359789,"525_5"
"241",526,1,5.38173378424617,0.0642193703240679,5.39821637354567,"526_1"
"242",526,2,5.86908325863498,0.0761554995091023,5.3243244918617,"526_2"
"243",526,3,11.9261691757649,0.0805481894248679,5.39393949508667,"526_3"
"244",526,4,6.77359168478334,0.0801920845752186,5.35719570814463,"526_4"
"245",526,5,7.55197344344002,0.074350487613959,5.39338853142478,"526_5"
"246",527,1,9.00686861716473,0.0969225919373426,5.34905812408216,"527_1"
"247",527,2,5.77095117904445,0.0745087096745224,5.36080254205212,"527_2"
"248",527,3,8.55663929513614,0.124731963768307,5.32699776913257,"527_3"
"249",527,4,7.01612879945892,0.0815946734679684,5.3547378035994,"527_4"
"250",527,5,6.20940279957265,0.0950226922900246,5.32138378158163,"527_5"
"251",528,1,6.15463393254337,0.116272744109321,5.1532367352575,"528_1"
"252",528,2,8.22570026077454,0.155961927755106,5.14816424853876,"528_2"
"253",528,3,8.75577169613599,0.141707392067533,5.18712079019467,"528_3"
"254",528,4,6.07328944198218,0.102795780806421,5.17144784742598,"528_4"
"255",528,5,6.18799901336307,0.088557811295401,5.20004802052452,"528_5"
"256",529,1,5.90752898549763,0.0764682441735528,5.41088489484321,"529_1"
"257",529,2,9.18131327892477,0.0753402133992473,5.36198357592617,"529_2"
"258",529,3,5.92847887336802,0.0664941734781557,5.30258296356907,"529_3"
"259",529,4,6.07459842107291,0.0692810351843759,5.38295117567277,"529_4"
"260",529,5,6.2222209325646,0.0659372354628057,5.35405329280281,"529_5"
"261",530,1,7.3364171591138,0.0976554241188364,5.30667961116954,"530_1"
"262",530,2,9.09102871121502,0.126187453956296,5.30041581090189,"530_2"
"263",530,3,6.38463951713005,0.11060270191801,5.2566729751111,"530_3"
"264",530,4,6.00684264194402,0.0920513253415923,5.29464634489518,"530_4"
"265",530,5,5.78190800674582,0.0803714223996403,5.30842463621435,"530_5"
"266",531,1,6.53302448301824,0.0785487150160038,5.29993851206439,"531_1"
"267",531,2,9.29205073294674,0.104616303070946,5.3124780154759,"531_2"
"268",531,3,6.72186578208957,0.10030777977645,5.28507537306273,"531_3"
"269",531,4,6.38016430702673,0.0734871043579633,5.364132540677,"531_4"
"270",531,5,7.21543900718968,0.129316506335533,5.24289747480378,"531_5"
"271",532,1,8.11628370070036,0.0916135013309694,3.80284125492627,"532_1"
"272",532,2,5.45214059107805,0.0649341798826781,3.80041209542708,"532_2"
"273",532,3,4.57800406264556,0.0539854218531268,3.79999995231628,"532_3"
"274",532,4,3.94753103181407,0.0464793099440008,3.79999995231628,"532_4"
"275",532,5,4.73805472151173,0.055630794122747,3.79999995231628,"532_5"
"276",533,1,3.56429410149042,0.0408707835898284,3.79999995231628,"533_1"
"277",533,2,4.33807126521227,0.0497602092413517,3.79999995231628,"533_2"
"278",533,3,4.55536757573376,0.050411737580525,3.79999995231628,"533_3"
"279",533,4,3.60803314803491,0.042654697817882,3.79999995231628,"533_4"
"280",533,5,4.34268988605731,0.0498633896180764,3.79999995231628,"533_5"
"281",534,1,7.94078873711114,0.161890938352112,4.97595621766829,"534_1"
"282",534,2,5.87291800034362,0.124087725405525,5.22453801524583,"534_2"
"283",534,3,5.6687683812335,0.11802714134533,4.99343279817753,"534_3"
"284",534,4,7.62866580782581,0.159977265716577,4.20919082481737,"534_4"
"285",534,5,5.54153989830209,0.11792448395303,4.21829921831973,"534_5"
"286",535,1,6.23263946913124,0.132380579618851,5.32470269851576,"535_1"
"287",535,2,8.19348146649802,0.170579629666465,5.32681832096793,"535_2"
"288",535,3,4.74995728609709,0.100816334854255,5.32308957634903,"535_3"
"289",535,4,6.825625454937,0.139130263524425,5.34285729272025,"535_4"
"290",535,5,6.58845253234271,0.139745036622289,5.34434797452844,"535_5"
"291",536,1,7.98640502580907,0.163992254599144,5.49204225378625,"536_1"
"292",536,2,5.62569024047831,0.111564391517209,5.53647796092921,"536_2"
"293",536,3,6.47037399439854,0.137983465643696,5.28439336268361,"536_3"
"294",536,4,4.68526561419251,0.0998020522466851,5.50010058795986,"536_4"
"295",536,5,6.28909260512961,0.131329976363423,5.52919130829409,"536_5"
"296",537,1,4.83804088061151,0.10350780565304,5.68729231323021,"537_1"
"297",537,2,8.17674597903503,0.161076774067786,5.69387587828885,"537_2"
"298",537,3,6.40864155696814,0.13573011822266,5.69251045605815,"537_3"
"299",537,4,7.19017362550015,0.147878177826723,5.68321848769552,"537_4"
"300",537,5,5.77009367731366,0.114647361868247,5.69775759687061,"537_5"
"301",538,1,7.54870895644173,0.148887051478865,5.20435665850817,"538_1"
"302",538,2,7.16535284024781,0.152544486553003,5.21544312447617,"538_2"
"303",538,3,7.54006674174337,0.156284043445077,5.21696612081023,"538_3"
"304",538,4,5.6187298136653,0.115723312506369,5.20992826263892,"538_4"
"305",538,5,5.5787846103293,0.118596583740752,5.21290819008512,"538_5"
